operator,arch,lr,batch_size,activation,test_mse,rel_error
F_boundary8_bottom,"(64, 32)",0.01,64,silu,1.224856513317718e-05,0.001618186375079916
F_boundary8_bottom,"(64, 32)",0.01,32,relu,2.193911101358026e-05,0.0011946974524700317
F_boundary8_bottom,"(64, 32)",0.01,64,relu,2.063348076717375e-05,0.0018245718411319092
F_boundary8_bottom,"(64, 32)",0.001,32,silu,3.4199510247390207e-05,0.0017003724033807061
F_internal8_bottom,"(128, 128, 128)",0.001,64,relu,5.1727725735872807e-05,0.0046571060671024905
F_boundary8_bottom,"(64, 32)",0.001,32,relu,3.1417284958479286e-05,0.002830876778824523
F_boundary8_bottom,"(64, 32)",0.001,64,silu,5.64805882845576e-05,0.0023146802086386636
F_boundary8_bottom,"(64, 32)",0.001,64,relu,7.075689693465392e-05,0.004583166027785191
F_boundary8_bottom,"(64, 128, 64, 32)",0.01,32,relu,2.5670325828741625e-05,0.0027165239307938866
F_boundary8_bottom,"(64, 128, 64, 32)",0.01,32,silu,1.1508869130238964e-05,0.0018156643631833992
F_boundary8_bottom,"(64, 128, 64, 32)",0.01,64,silu,1.23649399029091e-05,0.0016219766216687913
F_boundary8_bottom,"(64, 128, 64, 32)",0.01,64,relu,4.984405068171327e-05,0.004550973579267012
F_boundary8_bottom,"(64, 128, 64, 32)",0.001,64,silu,3.7179131243192384e-05,0.0020531439900316043
F_boundary8_bottom,"(64, 128, 64, 32)",0.001,32,silu,3.082704436394579e-05,0.0017254099354283487
F_boundary8_bottom,"(64, 128, 64, 32)",0.001,64,relu,6.300925294908666e-05,0.004335627836692221
F_boundary8_bottom,"(128, 128, 128)",0.01,32,silu,0.00012087776726730227,0.008524386867491233
F_boundary8_bottom,"(64, 128, 64, 32)",0.001,32,relu,3.286973446847696e-05,0.003587616317752701
F_boundary8_bottom,"(128, 128, 128)",0.01,32,relu,2.5112533273841108e-05,0.0015032376657169494
F_boundary8_bottom,"(128, 128, 128)",0.01,64,silu,9.329257898116338e-06,0.001205073082572908
F_boundary8_bottom,"(128, 128, 128)",0.01,64,relu,3.201492320386024e-05,0.0034900431269796056
F_boundary8_bottom,"(128, 128, 128)",0.001,32,silu,2.1068266499923992e-05,0.0012079099174616271
F_boundary8_bottom,"(128, 128, 128)",0.001,32,relu,3.7467598548346356e-05,0.004067507843126964
F_boundary8_bottom,"(128, 128, 128)",0.001,64,silu,4.285185276557968e-05,0.0019104054065004594
F_boundary8_bottom,"(128, 128, 128)",0.001,64,relu,6.871304010473978e-05,0.005229093884154752
F_internal8_bottom,"(128, 128, 128)",0.001,32,relu,5.206402330811346e-05,0.004570291199075593
